NUMERO,MUNICIPIO,CONCEPTO,MONTO,BANCO,CLABE ,CUENTA BANORTE INFRA,CLC
11,CALIHUALA,INFRAESTRUCTURA ENERO 2014,"146,416.20 ",BANORTE,072614002126828106,0897686411,0009
110,SAN ANTONIO SINICAHUA,INFRAESTRUCTURA ENERO 2014,"518,359.20 ",BANORTE,072613002153502043,0897686411,0009
115,SAN BARTOLO COYOTEPEC,INFRAESTRUCTURA ENERO 2014,"423,601.80 ",BANORTE,072640002141851465,0897686411,0009
172,SAN JUAN ACHIUTLA,INFRAESTRUCTURA ENERO 2014,"45,382.70 ",BANAMEX,002613700647232683,0897686411,0009
199,SAN JUAN IHUALTEPEC,INFRAESTRUCTURA ENERO 2014,"140,521.10 ",SCOTIABANK,044614207000210757,0897686411,0009
206,SAN JUAN DE LOS CUES,INFRAESTRUCTURA ENERO 2014,"246,880.50 ",BANORTE,072670002194414188,0897686411,0009
341,SAN PEDRO YUCUNAMA,INFRAESTRUCTURA ENERO 2014,"19,894.70 ",BANORTE,072613008983560835,0897686411,0009
399,SANTA MARIA ATZOMPA,INFRAESTRUCTURA ENERO 2014,"2,118,803.50 ",BANORTE,072640002141850893,0897686411,0009
436,SANTA MARIA TEXCATITLAN,INFRAESTRUCTURA ENERO 2014,"201,417.60 ",BANCOMER,012610001951823603,0897686411,0009
440,SANTA MARIA TOTOLAPILLA,INFRAESTRUCTURA ENERO 2014,"117,915.60 ",BANORTE,072637002176206205,0897686411,0009
479,SANTIAGO NEJAPILLA,INFRAESTRUCTURA ENERO 2014,"44,589.10 ",BANCOMER,012611001950516813,0897686411,0009
,,,"4,023,782.00 ",,,,
