NUMERO,MUNICIPIO,CONCEPTO,MONTO,BANCO,CLABE ,CUENTA  RAMO 28,CLC,TIPO,PROGRAMA
5,ASUNCION IXTALTEPEC,1A QUINCENA ENERO FMP 2014,"151,288.95",SANTANDER,014617655041727448, 0897686402,0002,CLC,FFM
14,CIUDAD IXTEPEC,1A QUINCENA ENERO FMP 2014,"299,861.60",BANCOMER,012616001948914147, 0897686402,0002,CLC,FFM
20,CONSTANCIA DEL ROSARIO,1A QUINCENA ENERO FMP 2014,"80,198.55",BANCOMER,012625001948424482, 0897686402,0002,CLC,FFM
23,CUILAPAM DE GUERRERO,1A QUINCENA ENERO FMP 2014,"156,916.70",BANORTE,072610002156639686, 0897686402,0002,CLC,FFM
25,CHAHUITES,1A QUINCENA ENERO FMP 2014,"114,276.80",BANAMEX,002631700582228268, 0897686402,0002,CLC,FFM
39,HEROICA CIUDAD DE HUAJUAPAN DE LEON,1A QUINCENA ENERO FMP 2014,"1,139,513.60",BANORTE,072614002125484486, 0897686402,0002,CLC,FFM
40, HUAUTEPEC,1A QUINCENA ENERO FMP 2014,"32,503.40",BANAMEX,002671700707396485, 0897686402,0002,CLC,FFM
43,JUCHITAN DE ZARAGOZA,1A QUINCENA ENERO FMP 2014,"958,795.60",BANORTE,072617002140059631, 0897686402,0002,CLC,FFM
62,NATIVIDAD,1A QUINCENA ENERO FMP 2014,"20,343.95",BANORTE,072612002135073672, 0897686402,0002,CLC,FFM
67,OAXACA DE JUAREZ,1A QUINCENA ENERO FMP 2014,"6,958,467.45",BANORTE,072610002132183282, 0897686402,0002,CLC,FFM
70,PINOTEPA DE DON LUIS,1A QUINCENA ENERO FMP 2014,"59,120.65",BANORTE,072623002151619698, 0897686402,0002,CLC,FFM
76,LA REFORMA,1A QUINCENA ENERO FMP 2014,"45,460.75",BANAMEX,002610063901260167, 0897686402,0002,CLC,FFM
88,SAN ANDRES CABECERA NUEVA,1A QUINCENA ENERO FMP 2014,"36,795.85",BANORTE,072613002140406835, 0897686402,0002,CLC,FFM
91,SAN ANDRES HUAYAPAM,1A QUINCENA ENERO FMP 2014,"97,315.30",BANORTE,072610002140412330, 0897686402,0002,CLC,FFM
101,SAN ANDRES ZABACHE,1A QUINCENA ENERO FMP 2014,"26,394.55",BANORTE,072610002156719276, 0897686402,0002,CLC,FFM
104,SAN ANTONINO EL ALTO,1A QUINCENA ENERO FMP 2014,"49,889.85",BANORTE,072640002141734427, 0897686402,0002,CLC,FFM
105,SAN ANTONINO MONTE VERDE,1A QUINCENA ENERO FMP 2014,"30,639.60",BANORTE,072640002141843541, 0897686402,0002,CLC,FFM
129,SAN CRISTOBAL SUCHIXTLAHUACA,1A QUINCENA ENERO FMP 2014,"40,348.25",BANCOMER,012611001948528185, 0897686402,0002,CLC,FFM
136,SAN FELIPE USILA,1A QUINCENA ENERO FMP 2014,"143,178.00",SANTANDER,014628920019087151, 0897686402,0002,CLC,FFM
141,SAN FRANCISCO DEL MAR,1A QUINCENA ENERO FMP 2014,"51,564.15",BANORTE,072617006738013797, 0897686402,0002,CLC,FFM
144,SAN FRANCISCO JALTEPETONGO,1A QUINCENA ENERO FMP 2014,"17,615.35",BANAMEX,002610700717258299, 0897686402,0002,CLC,FFM
179,SAN JUAN BAUTISTA JAYACATLAN,1A QUINCENA ENERO FMP 2014,"30,788.80",BANORTE,072640002141843279, 0897686402,0002,CLC,FFM
184,SAN JUAN BAUTISTA TUXTEPEC,1A QUINCENA ENERO FMP 2014,"3,015,043.15",BANORTE,072628002125482885, 0897686402,0002,CLC,FFM
189,SAN JUAN COMALTEPEC,1A QUINCENA ENERO FMP 2014,"21,804.80",SANTANDER,014610655041698998, 0897686402,0002,CLC,FFM
190,SAN JUAN COTZOCON,1A QUINCENA ENERO FMP 2014,"74,736.50",SANTANDER,014855655041610715, 0897686402,0002,CLC,FFM
216,SAN JUAN TABAA,1A QUINCENA ENERO FMP 2014,"31,267.75",BANORTE,072610008967985866, 0897686402,0002,CLC,FFM
218,SAN JUAN TEITA,1A QUINCENA ENERO FMP 2014,"25,127.20",BANORTE,072613002126822857, 0897686402,0002,CLC,FFM
225,SAN LORENZO,1A QUINCENA ENERO FMP 2014,"31,125.00",BANORTE,072623002141549008, 0897686402,0002,CLC,FFM
234,SAN LUCAS ZOQUIAPAM,1A QUINCENA ENERO FMP 2014,"34,213.10",BANAMEX,002671700713441405, 0897686402,0002,CLC,FFM
241,SAN MARTIN LACHILA,1A QUINCENA ENERO FMP 2014,"26,729.75",BANORTE,072610002141093208, 0897686402,0002,CLC,FFM
244,SAN MARTIN TOXPALAN,1A QUINCENA ENERO FMP 2014,"25,467.80",BANORTE,072610002108815898, 0897686402,0002,CLC,FFM
265,SAN MIGUEL CHIMALAPA,1A QUINCENA ENERO FMP 2014,"30,252.80",BANORTE,072617002140016027, 0897686402,0002,CLC,FFM
270,SAN MIGUEL HUAUTLA,1A QUINCENA ENERO FMP 2014,"27,523.85",BANCOMER,012611001948696567, 0897686402,0002,CLC,FFM
271,SAN MIGUEL MIXTEPEC,1A QUINCENA ENERO FMP 2014,"24,291.40",BANORTE,072640002139369215, 0897686402,0002,CLC,FFM
276,SAN MIGUEL SANTA FLOR,1A QUINCENA ENERO FMP 2014,"36,356.80",BANORTE,072610002156545372, 0897686402,0002,CLC,FFM
278,SAN MIGUEL SOYALTEPEC,1A QUINCENA ENERO FMP 2014,"280,298.35",BANCOMER,012898001948630469, 0897686402,0002,CLC,FFM
