NUMERO,MUNICIPIO,CONCEPTO,MONTO,BANCO,CLABE ,CUENTA  RAMO 28,CLC,TIPO,PROGRAMA
5,ASUNCION IXTALTEPEC,1A QUINCENA ENERO FMP 2014,"482,627.25",SANTANDER,014617655041727448, 0897686402,0001,CLC,FMP
14,CIUDAD IXTEPEC,1A QUINCENA ENERO FMP 2014,"875,316.45",BANCOMER,012616001948914147, 0897686402,0001,CLC,FMP
20,CONSTANCIA DEL ROSARIO,1A QUINCENA ENERO FMP 2014,"101,420.70",BANCOMER,012625001948424482, 0897686402,0001,CLC,FMP
23,CUILAPAM DE GUERRERO,1A QUINCENA ENERO FMP 2014,"288,976.75",BANORTE,072610002156639686, 0897686402,0001,CLC,FMP
25,CHAHUITES,1A QUINCENA ENERO FMP 2014,"236,845.90",BANAMEX,002631700582228268, 0897686402,0001,CLC,FMP
39,HEROICA CIUDAD DE HUAJUAPAN DE LEON,1A QUINCENA ENERO FMP 2014,"2,391,259.45",BANORTE,072614002125484486, 0897686402,0001,CLC,FMP
40, HUAUTEPEC,1A QUINCENA ENERO FMP 2014,"129,757.40",BANAMEX,002671700707396485, 0897686402,0001,CLC,FMP
43,JUCHITAN DE ZARAGOZA,1A QUINCENA ENERO FMP 2014,"2,638,235.55",BANORTE,072617002140059631, 0897686402,0001,CLC,FMP
62,NATIVIDAD,1A QUINCENA ENERO FMP 2014,"38,933.55",BANORTE,072612002135073672, 0897686402,0001,CLC,FMP
67,OAXACA DE JUAREZ,1A QUINCENA ENERO FMP 2014,"15,166,495.00",BANORTE,072610002132183282, 0897686402,0001,CLC,FMP
70,PINOTEPA DE DON LUIS,1A QUINCENA ENERO FMP 2014,"131,035.50",BANORTE,072623002151619698, 0897686402,0001,CLC,FMP
76,LA REFORMA,1A QUINCENA ENERO FMP 2014,"88,816.90",BANAMEX,002610063901260167, 0897686402,0001,CLC,FMP
88,SAN ANDRES CABECERA NUEVA,1A QUINCENA ENERO FMP 2014,"89,288.40",BANORTE,072613002140406835, 0897686402,0001,CLC,FMP
91,SAN ANDRES HUAYAPAM,1A QUINCENA ENERO FMP 2014,"109,359.10",BANORTE,072610002140412330, 0897686402,0001,CLC,FMP
101,SAN ANDRES ZABACHE,1A QUINCENA ENERO FMP 2014,"53,906.55",BANORTE,072610002156719276, 0897686402,0001,CLC,FMP
104,SAN ANTONINO EL ALTO,1A QUINCENA ENERO FMP 2014,"105,885.70",BANORTE,072640002141734427, 0897686402,0001,CLC,FMP
105,SAN ANTONINO MONTE VERDE,1A QUINCENA ENERO FMP 2014,"136,570.20",BANORTE,072640002141843541, 0897686402,0001,CLC,FMP
129,SAN CRISTOBAL SUCHIXTLAHUACA,1A QUINCENA ENERO FMP 2014,"62,742.10",BANCOMER,012611001948528185, 0897686402,0001,CLC,FMP
136,SAN FELIPE USILA,1A QUINCENA ENERO FMP 2014,"234,188.55",SANTANDER,014628920019087151, 0897686402,0001,CLC,FMP
141,SAN FRANCISCO DEL MAR,1A QUINCENA ENERO FMP 2014,"160,024.00",BANORTE,072617006738013797, 0897686402,0001,CLC,FMP
144,SAN FRANCISCO JALTEPETONGO,1A QUINCENA ENERO FMP 2014,"40,022.50",BANAMEX,002610700717258299, 0897686402,0001,CLC,FMP
179,SAN JUAN BAUTISTA JAYACATLAN,1A QUINCENA ENERO FMP 2014,"61,134.00",BANORTE,072640002141843279, 0897686402,0001,CLC,FMP
184,SAN JUAN BAUTISTA TUXTEPEC,1A QUINCENA ENERO FMP 2014,"5,715,376.60",BANORTE,072628002125482885, 0897686402,0001,CLC,FMP
189,SAN JUAN COMALTEPEC,1A QUINCENA ENERO FMP 2014,"72,135.60",SANTANDER,014610655041698998, 0897686402,0001,CLC,FMP
190,SAN JUAN COTZOCON,1A QUINCENA ENERO FMP 2014,"394,565.55",SANTANDER,014855655041610715, 0897686402,0001,CLC,FMP
216,SAN JUAN TABAA,1A QUINCENA ENERO FMP 2014,"61,221.20",BANORTE,072610008967985866, 0897686402,0001,CLC,FMP
218,SAN JUAN TEITA,1A QUINCENA ENERO FMP 2014,"46,723.50",BANORTE,072613002126822857, 0897686402,0001,CLC,FMP
225,SAN LORENZO,1A QUINCENA ENERO FMP 2014,"128,853.95",BANORTE,072623002141549008, 0897686402,0001,CLC,FMP
234,SAN LUCAS ZOQUIAPAM,1A QUINCENA ENERO FMP 2014,"156,379.20",BANAMEX,002671700713441405, 0897686402,0001,CLC,FMP
241,SAN MARTIN LACHILA,1A QUINCENA ENERO FMP 2014,"51,288.85",BANORTE,072610002141093208, 0897686402,0001,CLC,FMP
244,SAN MARTIN TOXPALAN,1A QUINCENA ENERO FMP 2014,"81,064.25",BANORTE,072610002108815898, 0897686402,0001,CLC,FMP
265,SAN MIGUEL CHIMALAPA,1A QUINCENA ENERO FMP 2014,"145,173.50",BANORTE,072617002140016027, 0897686402,0001,CLC,FMP
270,SAN MIGUEL HUAUTLA,1A QUINCENA ENERO FMP 2014,"57,693.70",BANCOMER,012611001948696567, 0897686402,0001,CLC,FMP
271,SAN MIGUEL MIXTEPEC,1A QUINCENA ENERO FMP 2014,"79,337.90",BANORTE,072640002139369215, 0897686402,0001,CLC,FMP
276,SAN MIGUEL SANTA FLOR,1A QUINCENA ENERO FMP 2014,"63,517.35",BANORTE,072610002156545372, 0897686402,0001,CLC,FMP
278,SAN MIGUEL SOYALTEPEC,1A QUINCENA ENERO FMP 2014,"648,511.25",BANCOMER,012898001948630469, 0897686402,0001,CLC,FMP
309,SAN PEDRO IXCATLAN,1A QUINCENA ENERO FMP 2014,"223,299.25",BANCOMER,012628001948822531, 0897686402,0001,CLC,FMP
312,SAN PEDRO JICAYAN,1A QUINCENA ENERO FMP 2014,"205,194.70",BANORTE,072623002151562004, 0897686402,0001,CLC,FMP
321,SAN PEDRO NOPALA,1A QUINCENA ENERO FMP 2014,"46,388.20",BANORTE,072614002125490700, 0897686402,0001,CLC,FMP
325,SAN PEDRO QUIATONI,1A QUINCENA ENERO FMP 2014,"215,288.15",BANAMEX,002638700602286028, 0897686402,0001,CLC,FMP
327,SAN PEDRO TAPANATEPEC,1A QUINCENA ENERO FMP 2014,"615,922.05",BANAMEX,002631700581493719, 0897686402,0001,CLC,FMP
348,SAN SEBASTIAN TECOMAXTLAHUACA,1A QUINCENA ENERO FMP 2014,"207,184.05",BANAMEX,002635700022538184, 0897686402,0001,CLC,FMP
358,SANTA ANA TLAPACOYAN,1A QUINCENA ENERO FMP 2014,"91,266.70",BANORTE,072610002151571040, 0897686402,0001,CLC,FMP
369,SANTA CATARINA QUIANE,1A QUINCENA ENERO FMP 2014,"52,942.20",BANORTE,072610002121546526, 0897686402,0001,CLC,FMP
375,SANTA CRUZ AMILPAS,1A QUINCENA ENERO FMP 2014,"230,146.50",HSBC,021633040570220140, 0897686402,0001,CLC,FMP
389,SANTA INES YATZECHE,1A QUINCENA ENERO FMP 2014,"69,928.60",BANAMEX,002640700672999980, 0897686402,0001,CLC,FMP
392,SANTA LUCIA MONTE VERDE,1A QUINCENA ENERO FMP 2014,"155,033.55",BANORTE,072613008983562257, 0897686402,0001,CLC,FMP
394,SANTA MARIA ALOTEPEC,1A QUINCENA ENERO FMP 2014,"66,374.85",BANCOMER,012610001948951180, 0897686402,0001,CLC,FMP
398,AYOQUEZCO DE ALDAMA,1A QUINCENA ENERO FMP 2014,"131,272.70",BANAMEX,002640700664705616, 0897686402,0001,CLC,FMP
400,SANTA MARIA CAMOTLAN,1A QUINCENA ENERO FMP 2014,"79,049.05",BANORTE,072614002125486536, 0897686402,0001,CLC,FMP
401,SANTA MARIA COLOTEPEC,1A QUINCENA ENERO FMP 2014,"444,589.00",BANORTE,072624002118094239, 0897686402,0001,CLC,FMP
403,SANTA MARIA COYOTEPEC,1A QUINCENA ENERO FMP 2014,"79,617.65",BANORTE,072640002141842241, 0897686402,0001,CLC,FMP
413,SANTA MARIA HUATULCO,1A QUINCENA ENERO FMP 2014,"2,867,224.95",BANAMEX,002634700512622378, 0897686402,0001,CLC,FMP
415,SANTA MARIA IPALAPA,1A QUINCENA ENERO FMP 2014,"103,591.15",BANORTE,072623002156554046, 0897686402,0001,CLC,FMP
421,SANTA MARIA MIXTEQUILLA,1A QUINCENA ENERO FMP 2014,"192,785.10",BANORTE,072617002157524793, 0897686402,0001,CLC,FMP
427,SANTA MARIA PETAPA,1A QUINCENA ENERO FMP 2014,"243,734.40",BANORTE,072620002098649423, 0897686402,0001,CLC,FMP
434,SANTA MARIA TEOPOXCO,1A QUINCENA ENERO FMP 2014,"115,720.00",BANORTE,072610002121546610, 0897686402,0001,CLC,FMP
446,SANTA MARIA YUCUHITI,1A QUINCENA ENERO FMP 2014,"136,795.05",BANORTE,072613008983561863, 0897686402,0001,CLC,FMP
453,SANTIAGO ASTATA,1A QUINCENA ENERO FMP 2014,"74,316.80",BANORTE,072626002139005205, 0897686402,0001,CLC,FMP
466,SANTIAGO IXTAYUTLA,1A QUINCENA ENERO FMP 2014,"230,980.90",SANTANDER,014623655041712942, 0897686402,0001,CLC,FMP
472,SANTIAGO LAOLLAGA,1A QUINCENA ENERO FMP 2014,"192,411.10",BANORTE,072617002157552655, 0897686402,0001,CLC,FMP
486,VILLA TEJUPAM DE LA UNION,1A QUINCENA ENERO FMP 2014,"72,125.40",BANORTE,072614002125485058, 0897686402,0001,CLC,FMP
488,SANTIAGO TEPETLAPA,1A QUINCENA ENERO FMP 2014,"33,778.45",BANCOMER,012611001948780868, 0897686402,0001,CLC,FMP
502,SANTIAGO ZACATEPEC,1A QUINCENA ENERO FMP 2014,"124,270.30",BANORTE,072640002139369587, 0897686402,0001,CLC,FMP
508,SANTO DOMINGO CHIHUITAN,1A QUINCENA ENERO FMP 2014,"46,349.30",BANORTE,072617002157539995, 0897686402,0001,CLC,FMP
511,SANTO DOMINGO NUXAA,1A QUINCENA ENERO FMP 2014,"89,435.65",BANAMEX,002610700736520209, 0897686402,0001,CLC,FMP
513,SANTO DOMINGO PETAPA,1A QUINCENA ENERO FMP 2014,"165,895.70",BANAMEX,002627700384199091, 0897686402,0001,CLC,FMP
515,SANTO DOMINGO TEHUANTEPEC,1A QUINCENA ENERO FMP 2014,"1,416,147.70",BANORTE,072626002140079945, 0897686402,0001,CLC,FMP
519,SANTO DOMINGO TOMALTEPEC,1A QUINCENA ENERO FMP 2014,"76,313.95",BANORTE,072610008931713844, 0897686402,0001,CLC,FMP
525,SANTO DOMINGO ZANATEPEC,1A QUINCENA ENERO FMP 2014,"309,673.85",BANAMEX,002631700549386305, 0897686402,0001,CLC,FMP
554,TOTONTEPEC VILLA DE MORELOS,1A QUINCENA ENERO FMP 2014,"148,197.20",BANORTE,072640002139368915, 0897686402,0001,CLC,FMP
555,TRINIDAD DE ZAACHILA,1A QUINCENA ENERO FMP 2014,"74,246.50",BANORTE,072640002141842607, 0897686402,0001,CLC,FMP
565,VILLA DE ZAACHILA,1A QUINCENA ENERO FMP 2014,"813,437.05",BANORTE,072610002134016344, 0897686402,0001,CLC,FMP
566,SAN MATEO YUCUTINDO,1A QUINCENA ENERO FMP 2014,"92,824.05",BANORTE,072640002141841941, 0897686402,0001,CLC,FMP
