No.,MUNICIPIO,CONCEPTO,MONTO,BANCO,CLABE ,CUENTA  BANORTE RAMO 28,CLC,TIPO,PROGRAMA
110,SAN ANTONIO SINICAHUA,1A QUINCENA ENERO FMP 2014," 70,173.55 ",BANORTE,072613002153501921, 0897686402,0001,CLC,FMP
115,SAN BARTOLO COYOTEPEC,1A QUINCENA ENERO FMP 2014," 153,564.95 ",BANORTE,072640002141851371, 0897686402,0001,CLC,FMP
172,SAN JUAN ACHIUTLA,1A QUINCENA ENERO FMP 2014," 22,235.10 ",BANAMEX,002613700641358039, 0897686402,0001,CLC,FMP
199,SAN JUAN IHUALTEPEC,1A QUINCENA ENERO FMP 2014," 45,496.65 ",SCOTIABANK,044614207000210595, 0897686402,0001,CLC,FMP
206,SAN JUAN DE LOS CUES,1A QUINCENA ENERO FMP 2014," 60,467.75 ",BANORTE,072670002194385848, 0897686402,0001,CLC,FMP
341,SAN PEDRO YUCUNAMA,1A QUINCENA ENERO FMP 2014," 40,893.20 ",BANORTE,072613002126823791, 0897686402,0001,CLC,FMP
399,SANTA MARIA ATZOMPA,1A QUINCENA ENERO FMP 2014," 511,162.60 ",BANORTE,072640002141850709, 0897686402,0001,CLC,FMP
436,SANTA MARIA TEXCATITLAN,1A QUINCENA ENERO FMP 2014," 50,456.20 ",BANCOMER,012610001951822989, 0897686402,0001,CLC,FMP
440,SANTA MARIA TOTOLAPILLA,1A QUINCENA ENERO FMP 2014," 55,282.30 ",BANORTE,072637002176206027, 0897686402,0001,CLC,FMP
479,SANTIAGO NEJAPILLA,1A QUINCENA ENERO FMP 2014," 30,621.00 ",BANCOMER,012611001950515092, 0897686402,0001,CLC,FMP
,,," 1,040,353.30 ",,,,,,
